Frequency (Hz),Realised Gain (dB),Antenna Factor (dB),S11 (dB)
160190476.2,0.807652779,13.50508107,-10.96175049
160952381,1.142063073,13.21188504,-14.70498897
161714285.7,1.320081796,13.07488594,-17.13641034
162476190.5,1.300820707,13.13497385,-13.93616674
163238095.2,1.134653289,13.34177708,-8.923012696
164000000,1.030637729,13.48623923,-7.239813512
164761904.8,1.427437735,13.12969835,-8.102399875
165523809.5,2.155376528,12.44183293,-9.458808567
166285714.3,2.912307399,11.72479141,-11.12069927
167047619,3.588846488,11.08795931,-12.9134925
167809523.8,3.97218064,10.74415146,-14.64439075
168571428.6,4.130231271,10.62544807,-15.97980786
169333333.3,4.144096243,10.65075291,-16.81046648
170095238.1,4.132072999,10.70177011,-17.07368648
170857142.9,4.147082761,10.72558003,-16.72121903
171619047.6,4.185225567,10.72608418,-16.09761719
172380952.4,4.267242076,10.68254344,-15.39387945
173142857.1,4.398130241,10.58996136,-14.72257313
173904761.9,4.580056407,10.44617308,-14.26792411
174666666.7,4.788883977,10.27531667,-14.16928617
175428571.4,5.003782726,10.09822381,-14.28446377
176190476.2,5.199929179,9.939719408,-14.59767893
176952381,5.327065751,9.850062461,-15.12477421
177714285.7,5.350630652,9.863816155,-15.80790159
178476190.5,5.263958616,9.987647133,-16.32615215
179238095.2,5.106631807,10.18197459,-16.48002416
180000000,4.917492956,10.40795715,-16.06363157
180761904.8,4.713193523,10.64894466,-14.94045785
181523809.5,4.495764869,10.90290708,-13.60821569
182285714.3,4.29563685,11.13941584,-12.21367667
183047619,4.170565832,11.30071585,-10.88757411
183809523.8,4.156222999,11.3511372,-9.769662363
184571428.6,4.230213416,11.31307606,-8.818158982
185333333.3,4.315663286,11.26340745,-7.993207235
186095238.1,4.322195193,11.29251001,-7.27668164
186857142.9,4.119398731,11.53079535,-6.679399502
187619047.6,3.652768137,12.0327704,-6.17985713
188380952.4,2.950081089,12.77065868,-5.754602437
189142857.1,2.118523652,13.63727525,-5.404456204
189904761.9,1.147894164,14.64282293,-5.155606457
190666666.7,0.98345315,14.84204233,-6.207498267
